varied_parameter,factor_label,factor_value,factor_value_label,scenario,scenario_label,scenario_domain,mechanism,intensity_type,requested_intensity,intensity_label,n_replicates,alpha_q0_spearman_med,bray_spearman_med,jaccard_spearman_med,sorensen_spearman_med
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_drop_unresolved_1pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.01,    1%,5,0.9552143037942866,0.9984294553760596,0.9801768339183454,0.9801768339183454
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_drop_unresolved_20pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.2,   20%,5,0.9453999783460978,0.9689166395847628,0.8746611361133455,0.8746611361133455
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_drop_unresolved_3pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.03,    3%,5,0.9245098141073513,0.9957469874053038,0.9354561924310267,0.9354561924310267
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_drop_unresolved_5pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.05,    5%,5,0.9170855486315238,0.9929393070443729,0.90505090521015,0.90505090521015
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_family_level,Family-level aggregation,fixed_workflow,family_level,fixed_workflow,NA,fixed,5,0.4592948297859928,0.26903863347535933,0.3634362646844313,0.3634362646844313
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_genus_level,Genus-level aggregation,fixed_workflow,genus_level,fixed_workflow,NA,fixed,5,0.9403749183155914,0.8148281001113087,0.7645495987771626,0.7645495987771626
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_mixed_rtu_10pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.1,   10%,5,0.9409885512477978,0.9923938243352954,0.8875681604162109,0.8875681604162109
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_mixed_rtu_1pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.01,    1%,5,0.9665044723933681,0.9993575020893914,0.9835941440430235,0.9835941440430235
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_mixed_rtu_20pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.2,   20%,5,0.946969072030496,0.9826305061515759,0.885357182503318,0.885357182503318
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_mixed_rtu_3pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.03,    3%,5,0.9396540342293499,0.9979713881982085,0.9418540236677729,0.9418540236677729
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_mixed_rtu_5pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.05,    5%,5,0.9210969553735583,0.9967045451752804,0.9065193232134214,0.9065193232134214
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_rare_species_to_genus,Rare taxa reported at genus,fixed_workflow,rare_to_genus,fixed_workflow,NA,fixed,5,1,1,1,1
mean_genera_per_family,Mean genera per family,2,2,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,5,0.8892143431327306,0.9798188090576377,0.7402477485548893,0.7402477485548893
mean_genera_per_family,Mean genera per family,2,2,id_observed_rare_weighted_1pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.01,    1%,5,0.9649692751742065,0.998895518768253,0.9581343553926744,0.9581343553926744
mean_genera_per_family,Mean genera per family,2,2,id_observed_rare_weighted_20pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.2,   20%,5,0.8748452390017345,0.9433801947869676,0.6523488285600207,0.6523488285600207
mean_genera_per_family,Mean genera per family,2,2,id_observed_rare_weighted_3pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.03,    3%,5,0.9343396928230864,0.9960039809081496,0.8797543016442732,0.8797543016442732
mean_genera_per_family,Mean genera per family,2,2,id_observed_rare_weighted_5pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.05,    5%,5,0.9254699789146092,0.9916112457264067,0.8305101020953853,0.8305101020953853
mean_genera_per_family,Mean genera per family,2,2,id_observed_uniform_10pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.1,   10%,5,0.877039967558082,0.9774572825356809,0.771390467988318,0.771390467988318
mean_genera_per_family,Mean genera per family,2,2,id_observed_uniform_1pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.01,    1%,5,0.9701951480321659,0.9984825429754459,0.9526156733657233,0.9526156733657233
mean_genera_per_family,Mean genera per family,2,2,id_observed_uniform_20pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.2,   20%,5,0.882589420236928,0.9483665783440473,0.6892570855415363,0.6892570855415363
mean_genera_per_family,Mean genera per family,2,2,id_observed_uniform_3pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.03,    3%,5,0.9423007607250222,0.995402298364358,0.900410681880053,0.900410681880053
mean_genera_per_family,Mean genera per family,2,2,id_observed_uniform_5pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.05,    5%,5,0.9135793151389954,0.9911106646169111,0.842727720120042,0.842727720120042
mean_genera_per_family,Mean genera per family,2,2,id_regional_difficult_bias_10pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.1,   10%,5,0.8200561202867699,0.987083979713691,0.8046697971839809,0.8046697971839809
mean_genera_per_family,Mean genera per family,2,2,id_regional_difficult_bias_1pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.01,    1%,5,0.9566489504970852,0.999040743571468,0.9722624058851466,0.9722624058851466
mean_genera_per_family,Mean genera per family,2,2,id_regional_difficult_bias_20pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.2,   20%,5,0.8252377645411332,0.9661808395069563,0.7044919118111095,0.7044919118111095
