world_id,scenario,delta_alpha_med,delta_alpha_p10,delta_alpha_p90,delta_gamma_med,delta_gamma_p10,delta_gamma_p90,delta_occupancy_med,beta_signature,replicate_id,n_regional_species,n_genera,n_families,mean_species_per_genus,cv_species_per_genus,prop_monotypic_genera,mean_genera_per_family,cv_genera_per_family,prop_difficult_genera,n_observed_species,true_alpha_q0,true_gamma,true_mean_occupancy,true_mean_bray_curtis,n_sites,species_per_genus_concentration,genera_per_family_concentration,difficult_genus_fraction,occupancy_mean,occupancy_precision,mean_abundance,abundance_nb_size,occupancy_abundance_slope,observed_selection_bias,environmental_gradient_strength,realised_mean_error,realised_unresolved_rate,n_eligible_source_species,regional_to_observed_ratio,observed_fraction,species_per_family,taxonomic_compression_genus,taxonomic_compression_family,log_regional_to_observed,log_mean_species_per_genus,log_mean_genera_per_family,log_species_per_family,log_n_sites
1,difficult_genera_to_genus,-0.4174618320610785,-0.8332131995042511,-0.3267464906945067,-1.4851485148514851,-2.772277227722772,-1.4851485148514851,1.1984953308977988,apparent_homogenisation,1,323,279,45,1.157706093189964,0.33995465719644885,0.8530465949820788,6.2,1.257180680588842,0.2114695340501792,202,61.197080291970806,202,0.3029558430295584,0.7244116805097451,137,7.532668181706685,0.5076185202109628,0.2112421952188015,0.3443179582455195,13.970134691451676,47.90641724946909,4.670008022862021,0.9357486120425165,0.14526680391281843,0.3087740479968488,0,0.21667425445166594,31.6,1.599009900990099,0.6253869969040248,7.177777777777778,1.157706093189964,7.177777777777778,0.20385115288447914,0.0635983190575053,0.7923916894982539,0.8559900085557592,2.1367205671564067
1,drop_unresolved,-49.2063492063492,-49.25737423268094,-49.07462964622094,-47.66839378238342,-48.363683935112505,-47.58683803243389,-2.6902166960882186,apparent_differentiation,1,323,279,45,1.157706093189964,0.33995465719644885,0.8530465949820788,6.2,1.257180680588842,0.2114695340501792,202,61.197080291970806,202,0.3029558430295584,0.7244116805097451,137,7.532668181706685,0.5076185202109628,0.2112421952188015,0.3443179582455195,13.970134691451676,47.90641724946909,4.670008022862021,0.9357486120425165,0.14526680391281843,0.3087740479968488,0,0.19980527307699836,31.6,1.599009900990099,0.6253869969040248,7.177777777777778,1.157706093189964,7.177777777777778,0.20385115288447914,0.0635983190575053,0.7923916894982539,0.8559900085557592,2.1367205671564067
1,family_level,-59.00038056577444,-60.48242471581405,-58.82737035724464,-80.1980198019802,-81.88118811881188,-80.1980198019802,107.29283380018673,apparent_homogenisation,1,323,279,45,1.157706093189964,0.33995465719644885,0.8530465949820788,6.2,1.257180680588842,0.2114695340501792,202,61.197080291970806,202,0.3029558430295584,0.7244116805097451,137,7.532668181706685,0.5076185202109628,0.2112421952188015,0.3443179582455195,13.970134691451676,47.90641724946909,4.670008022862021,0.9357486120425165,0.14526680391281843,0.3087740479968488,0,NA,31.6,1.599009900990099,0.6253869969040248,7.177777777777778,1.157706093189964,7.177777777777778,0.20385115288447914,0.0635983190575053,0.7923916894982539,0.8559900085557592,2.1367205671564067
1,genus_level,-2.4743230625583528,-2.894337124313906,-2.295672617845906,-8.910891089108912,-9.207920792079207,-6.336633663366337,6.663072434352414,apparent_homogenisation,1,323,279,45,1.157706093189964,0.33995465719644885,0.8530465949820788,6.2,1.257180680588842,0.2114695340501792,202,61.197080291970806,202,0.3029558430295584,0.7244116805097451,137,7.532668181706685,0.5076185202109628,0.2112421952188015,0.3443179582455195,13.970134691451676,47.90641724946909,4.670008022862021,0.9357486120425165,0.14526680391281843,0.3087740479968488,0,NA,31.6,1.599009900990099,0.6253869969040248,7.177777777777778,1.157706093189964,7.177777777777778,0.20385115288447914,0.0635983190575053,0.7923916894982539,0.8559900085557592,2.1367205671564067
1,mixed_rtu_reporting,96.6970121381886,96.36837048960753,96.90341451636664,91.08910891089108,90.79207920792079,93.66336633663366,2.731397465129607,apparent_homogenisation,1,323,279,45,1.157706093189964,0.33995465719644885,0.8530465949820788,6.2,1.257180680588842,0.2114695340501792,202,61.197080291970806,202,0.3029558430295584,0.7244116805097451,137,7.532668181706685,0.5076185202109628,0.2112421952188015,0.3443179582455195,13.970134691451676,47.90641724946909,4.670008022862021,0.9357486120425165,0.14526680391281843,0.3087740479968488,0,0.19984096595331102,31.6,1.599009900990099,0.6253869969040248,7.177777777777778,1.157706093189964,7.177777777777778,0.20385115288447914,0.0635983190575053,0.7923916894982539,0.8559900085557592,2.1367205671564067
1,observed_congeneric_error,11.615439599714065,9.05590257731591,13.714719323717238,0,0,0,11.615439599714069,apparent_homogenisation,1,323,279,45,1.157706093189964,0.33995465719644885,0.8530465949820788,6.2,1.257180680588842,0.2114695340501792,202,61.197080291970806,202,0.3029558430295584,0.7244116805097451,137,7.532668181706685,0.5076185202109628,0.2112421952188015,0.3443179582455195,13.970134691451676,47.90641724946909,4.670008022862021,0.9357486120425165,0.14526680391281843,0.3087740479968488,0.016521999100119394,0,31.6,1.599009900990099,0.6253869969040248,7.177777777777778,1.157706093189964,7.177777777777778,0.20385115288447914,0.0635983190575053,0.7923916894982539,0.8559900085557592,2.1367205671564067
1,rare_species_to_genus,0,0,0,0,0,0,0,no_meaningful_change,1,323,279,45,1.157706093189964,0.33995465719644885,0.8530465949820788,6.2,1.257180680588842,0.2114695340501792,202,61.197080291970806,202,0.3029558430295584,0.7244116805097451,137,7.532668181706685,0.5076185202109628,0.2112421952188015,0.3443179582455195,13.970134691451676,47.90641724946909,4.670008022862021,0.9357486120425165,0.14526680391281843,0.3087740479968488,0,0.016860061114573586,31.6,1.599009900990099,0.6253869969040248,7.177777777777778,1.157706093189964,7.177777777777778,0.20385115288447914,0.0635983190575053,0.7923916894982539,0.8559900085557592,2.1367205671564067
1,rare_weighted_error,11.86561829878485,9.07675729324809,13.926117542050445,0,0,0,11.865618298784847,apparent_homogenisation,1,323,279,45,1.157706093189964,0.33995465719644885,0.8530465949820788,6.2,1.257180680588842,0.2114695340501792,202,61.197080291970806,202,0.3029558430295584,0.7244116805097451,137,7.532668181706685,0.5076185202109628,0.2112421952188015,0.3443179582455195,13.970134691451676,47.90641724946909,4.670008022862021,0.9357486120425165,0.14526680391281843,0.3087740479968488,0.01661337491710904,0,31.6,1.599009900990099,0.6253869969040248,7.177777777777778,1.157706093189964,7.177777777777778,0.20385115288447914,0.0635983190575053,0.7923916894982539,0.8559900085557592,2.1367205671564067
1,regional_congeneric_error,22.067475087045267,20.72898625098894,23.88119238864824,10.891089108910892,9.702970297029704,12.772277227722771,10.93446849790667,apparent_homogenisation,1,323,279,45,1.157706093189964,0.33995465719644885,0.8530465949820788,6.2,1.257180680588842,0.2114695340501792,202,61.197080291970806,202,0.3029558430295584,0.7244116805097451,137,7.532668181706685,0.5076185202109628,0.2112421952188015,0.3443179582455195,13.970134691451676,47.90641724946909,4.670008022862021,0.9357486120425165,0.14526680391281843,0.3087740479968488,0.02612237623520169,0,51.4,1.599009900990099,0.6253869969040248,7.177777777777778,1.157706093189964,7.177777777777778,0.20385115288447914,0.0635983190575053,0.7923916894982539,0.8559900085557592,2.1367205671564067
2,difficult_genera_to_genus,-9.530191348373169,-14.647504995869593,-6.783973455017152,-14.285714285714286,-18.991596638655462,-9.579831932773109,5.0570395318878045,apparent_homogenisation,1,905,97,9,9.329896907216495,0.4732339300529294,0,10.777777777777779,2.652771838481015,0.27835051546391754,238,127.81308411214954,238,0.5370297651770989,0.5744197997220489,107,7.642853645805735,7.1328836311004125,0.2771213624626398,0.5967337726755068,19.84332107391674,35.86372770613525,5.554643740935717,0.7897485357825644,-0.4216805254109204,0.44134094193577766,0,0.24262054025329252,215,3.802521008403361,0.26298342541436465,100.55555555555556,9.329896907216495,100.55555555555556,0.5800716221486913,0.9698768449389585,1.03252922482692,2.0024060697658785,2.0293837776852097
