requested_mean_error,realised_mean_error,candidate_pool,rarity_exponent,difficulty_multiplier,n_eligible_source_species,n_moved_individuals,workflow,realised_unresolved_rate,world_id,replicate_id,scenario
0.1,0.024672187715665976,observed,0.5,1,19,143,species,0,4,1,rare_weighted_error
0,0,observed,0,1,19,0,mixed_rtu,0.19703243616287092,4,1,mixed_rtu_reporting
0,0,observed,0,1,19,0,drop_unresolved,0.1985852311939268,4,1,drop_unresolved
0,0,observed,0,1,19,0,rare_to_genus,0.0013802622498274672,4,1,rare_species_to_genus
0,0,observed,0,1,19,0,difficult_to_genus,0.017943409247757072,4,1,difficult_genera_to_genus
0,0,observed,0,1,19,0,genus,NA,4,1,genus_level
0,0,observed,0,1,19,0,family,NA,4,1,family_level
0.1,0.012950787009364416,observed,0,1,8,65,species,0,4,2,observed_congeneric_error
0.1,0.09185096632795378,regional,0,1,29,461,species,0,4,2,regional_congeneric_error
0.1,0.01235305837816298,observed,0.5,1,8,62,species,0,4,2,rare_weighted_error
0,0,observed,0,1,8,0,mixed_rtu,0.20781032078103212,4,2,mixed_rtu_reporting
0,0,observed,0,1,8,0,drop_unresolved,0.20183303446901768,4,2,drop_unresolved
0,0,observed,0,1,8,0,rare_to_genus,0.004781829049611476,4,2,rare_species_to_genus
0,0,observed,0,1,8,0,difficult_to_genus,0.13349272763498704,4,2,difficult_genera_to_genus
0,0,observed,0,1,8,0,genus,NA,4,2,genus_level
0,0,observed,0,1,8,0,family,NA,4,2,family_level
0.1,0.012866980790141355,observed,0,1,10,71,species,0,4,3,observed_congeneric_error
0.1,0.06560347952156578,regional,0,1,30,362,species,0,4,3,regional_congeneric_error
0.1,0.01594780717651323,observed,0.5,1,10,88,species,0,4,3,rare_weighted_error
0,0,observed,0,1,10,0,mixed_rtu,0.2015222906850308,4,3,mixed_rtu_reporting
0,0,observed,0,1,10,0,drop_unresolved,0.20677781805001816,4,3,drop_unresolved
0,0,observed,0,1,10,0,rare_to_genus,0.0030808263863718738,4,3,rare_species_to_genus
0,0,observed,0,1,10,0,difficult_to_genus,0.18901776005799203,4,3,difficult_genera_to_genus
0,0,observed,0,1,10,0,genus,NA,4,3,genus_level
0,0,observed,0,1,10,0,family,NA,4,3,family_level
0.1,0.002781413612565445,observed,0,1,4,17,species,0,4,4,observed_congeneric_error
0.1,0.05284685863874346,regional,0,1,31,323,species,0,4,4,regional_congeneric_error
0.1,0.003108638743455497,observed,0.5,1,4,19,species,0,4,4,rare_weighted_error
0,0,observed,0,1,4,0,mixed_rtu,0.19878926701570676,4,4,mixed_rtu_reporting
0,0,observed,0,1,4,0,drop_unresolved,0.19437172774869105,4,4,drop_unresolved
0,0,observed,0,1,4,0,rare_to_genus,0.0014725130890052356,4,4,rare_species_to_genus
0,0,observed,0,1,4,0,difficult_to_genus,0.11878272251308901,4,4,difficult_genera_to_genus
0,0,observed,0,1,4,0,genus,NA,4,4,genus_level
0,0,observed,0,1,4,0,family,NA,4,4,family_level
0.1,0.021664766248574687,observed,0,1,10,95,species,0,4,5,observed_congeneric_error
0.1,0.09532497149372862,regional,0,1,33,418,species,0,4,5,regional_congeneric_error
0.1,0.018928164196123146,observed,0.5,1,10,83,species,0,4,5,rare_weighted_error
0,0,observed,0,1,10,0,mixed_rtu,0.2020524515393387,4,5,mixed_rtu_reporting
0,0,observed,0,1,10,0,drop_unresolved,0.20570125427594066,4,5,drop_unresolved
0,0,observed,0,1,10,0,rare_to_genus,0.005017103762827822,4,5,rare_species_to_genus
0,0,observed,0,1,10,0,difficult_to_genus,0.21892816419612315,4,5,difficult_genera_to_genus
0,0,observed,0,1,10,0,genus,NA,4,5,genus_level
0,0,observed,0,1,10,0,family,NA,4,5,family_level
0.1,0.09405118736917285,observed,0,1,146,24757,species,0,5,1,observed_congeneric_error
0.1,0.09930516774367566,regional,0,1,156,26140,species,0,5,1,regional_congeneric_error
0.1,0.09433231140945716,observed,0.5,1,146,24831,species,0,5,1,rare_weighted_error
0,0,observed,0,1,146,0,mixed_rtu,0.20034646638478282,5,1,mixed_rtu_reporting
0,0,observed,0,1,146,0,drop_unresolved,0.19925995995881918,5,1,drop_unresolved
0,0,observed,0,1,146,0,rare_to_genus,0.02051065802020294,5,1,rare_species_to_genus
0,0,observed,0,1,146,0,difficult_to_genus,0.24381052239684836,5,1,difficult_genera_to_genus
0,0,observed,0,1,146,0,genus,NA,5,1,genus_level
0,0,observed,0,1,146,0,family,NA,5,1,family_level
0.1,0.09483894670425774,observed,0,1,148,23749,species,0,5,2,observed_congeneric_error
0.1,0.0993115400896116,regional,0,1,156,24869,species,0,5,2,regional_congeneric_error
0.1,0.0957254786074261,observed,0.5,1,148,23971,species,0,5,2,rare_weighted_error
0,0,observed,0,1,148,0,mixed_rtu,0.19938581708690406,5,2,mixed_rtu_reporting
0,0,observed,0,1,148,0,drop_unresolved,0.20046802495068172,5,2,drop_unresolved
0,0,observed,0,1,148,0,rare_to_genus,0.027095130463951695,5,2,rare_species_to_genus
0,0,observed,0,1,148,0,difficult_to_genus,0.26162674610844444,5,2,difficult_genera_to_genus
0,0,observed,0,1,148,0,genus,NA,5,2,genus_level
0,0,observed,0,1,148,0,family,NA,5,2,family_level
0.1,0.09766985790946854,observed,0,1,151,27392,species,0,5,3,observed_congeneric_error
0.1,0.10072917223797044,regional,0,1,156,28250,species,0,5,3,regional_congeneric_error
0.1,0.09737034461856627,observed,0.5,1,151,27308,species,0,5,3,rare_weighted_error
0,0,observed,0,1,151,0,mixed_rtu,0.20117665935711615,5,3,mixed_rtu_reporting
0,0,observed,0,1,151,0,drop_unresolved,0.19848460537341106,5,3,drop_unresolved
0,0,observed,0,1,151,0,rare_to_genus,0.029334474336346294,5,3,rare_species_to_genus
0,0,observed,0,1,151,0,difficult_to_genus,0.32470449804781515,5,3,difficult_genera_to_genus
0,0,observed,0,1,151,0,genus,NA,5,3,genus_level
0,0,observed,0,1,151,0,family,NA,5,3,family_level
0.1,0.09401176227429023,observed,0,1,147,25017,species,0,5,4,observed_congeneric_error
0.1,0.09955844497472802,regional,0,1,156,26493,species,0,5,4,regional_congeneric_error
0.1,0.0946919449089645,observed,0.5,1,147,25198,species,0,5,4,rare_weighted_error
0,0,observed,0,1,147,0,mixed_rtu,0.20103718457000053,5,4,mixed_rtu_reporting
0,0,observed,0,1,147,0,drop_unresolved,0.20058247684184816,5,4,drop_unresolved
0,0,observed,0,1,147,0,rare_to_genus,0.024182183724469664,5,4,rare_species_to_genus
0,0,observed,0,1,147,0,difficult_to_genus,0.293418011687116,5,4,difficult_genera_to_genus
0,0,observed,0,1,147,0,genus,NA,5,4,genus_level
0,0,observed,0,1,147,0,family,NA,5,4,family_level
0.1,0.09564067359286767,observed,0,1,148,26540,species,0,5,5,observed_congeneric_error
0.1,0.10002991023326378,regional,0,1,156,27758,species,0,5,5,regional_congeneric_error
0.1,0.09601184877674353,observed,0.5,1,148,26643,species,0,5,5,rare_weighted_error
0,0,observed,0,1,148,0,mixed_rtu,0.20045622114833672,5,5,mixed_rtu_reporting
0,0,observed,0,1,148,0,drop_unresolved,0.20018594795619415,5,5,drop_unresolved
0,0,observed,0,1,148,0,rare_to_genus,0.029758880276183165,5,5,rare_species_to_genus
0,0,observed,0,1,148,0,difficult_to_genus,0.3972835742368386,5,5,difficult_genera_to_genus
0,0,observed,0,1,148,0,genus,NA,5,5,genus_level
0,0,observed,0,1,148,0,family,NA,5,5,family_level
0.1,0.032901806273345956,observed,0,1,16,2572,species,0,6,1,observed_congeneric_error
0.1,0.07211021849255488,regional,0,1,45,5637,species,0,6,1,regional_congeneric_error
0.1,0.03100854525917208,observed,0.5,1,16,2424,species,0,6,1,rare_weighted_error
0,0,observed,0,1,16,0,mixed_rtu,0.20044261372358385,6,1,mixed_rtu_reporting
0,0,observed,0,1,16,0,drop_unresolved,0.2014787903597196,6,1,drop_unresolved
0,0,observed,0,1,16,0,rare_to_genus,0.0025712531341145167,6,1,rare_species_to_genus
0,0,observed,0,1,16,0,difficult_to_genus,0.18924934759248835,6,1,difficult_genera_to_genus
0,0,observed,0,1,16,0,genus,NA,6,1,genus_level
0,0,observed,0,1,16,0,family,NA,6,1,family_level
0.1,0.02773844680879755,observed,0,1,22,2057,species,0,6,2,observed_congeneric_error
