requested_mean_error,realised_mean_error,candidate_pool,rarity_exponent,difficulty_multiplier,n_eligible_source_species,n_moved_individuals,workflow,realised_unresolved_rate,world_id,replicate_id,scenario
0,0,observed,0,1,167,0,difficult_to_genus,0.10487843219450849,8,2,difficult_genera_to_genus
0,0,observed,0,1,167,0,genus,NA,8,2,genus_level
0,0,observed,0,1,167,0,family,NA,8,2,family_level
0.1,0.06015786851283665,observed,0,1,166,2294,species,0,8,3,observed_congeneric_error
0.1,0.08756195421288647,regional,0,1,246,3339,species,0,8,3,regional_congeneric_error
0.1,0.05748301995646815,observed,0.5,1,166,2192,species,0,8,3,rare_weighted_error
0,0,observed,0,1,166,0,mixed_rtu,0.2014528099021845,8,3,mixed_rtu_reporting
0,0,observed,0,1,166,0,drop_unresolved,0.19508037657671828,8,3,drop_unresolved
0,0,observed,0,1,166,0,rare_to_genus,0.03212440668187659,8,3,rare_species_to_genus
0,0,observed,0,1,166,0,difficult_to_genus,0.12611124223113837,8,3,difficult_genera_to_genus
0,0,observed,0,1,166,0,genus,NA,8,3,genus_level
0,0,observed,0,1,166,0,family,NA,8,3,family_level
0.1,0.05970854667191808,observed,0,1,164,2274,species,0,8,4,observed_congeneric_error
0.1,0.08864382302743862,regional,0,1,253,3376,species,0,8,4,regional_congeneric_error
0.1,0.05881580674806354,observed,0.5,1,164,2240,species,0,8,4,rare_weighted_error
0,0,observed,0,1,164,0,mixed_rtu,0.20136536694236573,8,4,mixed_rtu_reporting
0,0,observed,0,1,164,0,drop_unresolved,0.2030983326769069,8,4,drop_unresolved
0,0,observed,0,1,164,0,rare_to_genus,0.027491138243402914,8,4,rare_species_to_genus
0,0,observed,0,1,164,0,difficult_to_genus,0.09586451358802678,8,4,difficult_genera_to_genus
0,0,observed,0,1,164,0,genus,NA,8,4,genus_level
0,0,observed,0,1,164,0,family,NA,8,4,family_level
0.1,0.054509989983657546,observed,0,1,155,2068,species,0,8,5,observed_congeneric_error
0.1,0.09004164689756972,regional,0,1,255,3416,species,0,8,5,regional_congeneric_error
0.1,0.05187411039063736,observed,0.5,1,155,1968,species,0,8,5,rare_weighted_error
0,0,observed,0,1,155,0,mixed_rtu,0.203911645316042,8,5,mixed_rtu_reporting
0,0,observed,0,1,155,0,drop_unresolved,0.2003004902736043,8,5,drop_unresolved
0,0,observed,0,1,155,0,rare_to_genus,0.031867784279614106,8,5,rare_species_to_genus
0,0,observed,0,1,155,0,difficult_to_genus,0.13862090779693184,8,5,difficult_genera_to_genus
0,0,observed,0,1,155,0,genus,NA,8,5,genus_level
0,0,observed,0,1,155,0,family,NA,8,5,family_level
0.1,0.061387133831131535,observed,0,1,71,855,species,0,9,1,observed_congeneric_error
0.1,0.09491671453187824,regional,0,1,108,1322,species,0,9,1,regional_congeneric_error
0.1,0.05980758184951177,observed,0.5,1,71,833,species,0,9,1,rare_weighted_error
0,0,observed,0,1,71,0,mixed_rtu,0.19988512349224585,9,1,mixed_rtu_reporting
0,0,observed,0,1,71,0,drop_unresolved,0.20491097070649056,9,1,drop_unresolved
0,0,observed,0,1,71,0,rare_to_genus,0.008472142446869614,9,1,rare_species_to_genus
0,0,observed,0,1,71,0,difficult_to_genus,0.02742676622630672,9,1,difficult_genera_to_genus
0,0,observed,0,1,71,0,genus,NA,9,1,genus_level
0,0,observed,0,1,71,0,family,NA,9,1,family_level
0.1,0.04838832584012802,observed,0,1,63,635,species,0,9,2,observed_congeneric_error
0.1,0.09776727882343976,regional,0,1,109,1283,species,0,9,2,regional_congeneric_error
0.1,0.04793111331250476,observed,0.5,1,63,629,species,0,9,2,rare_weighted_error
0,0,observed,0,1,63,0,mixed_rtu,0.20437399984759586,9,2,mixed_rtu_reporting
0,0,observed,0,1,63,0,drop_unresolved,0.1975920140211842,9,2,drop_unresolved
0,0,observed,0,1,63,0,rare_to_genus,0.009449058904213976,9,2,rare_species_to_genus
0,0,observed,0,1,63,0,difficult_to_genus,0.02316543473291168,9,2,difficult_genera_to_genus
0,0,observed,0,1,63,0,genus,NA,9,2,genus_level
0,0,observed,0,1,63,0,family,NA,9,2,family_level
0.1,0.05665230084804671,observed,0,1,68,815,species,0,9,3,observed_congeneric_error
0.1,0.10176560544974281,regional,0,1,111,1464,species,0,9,3,regional_congeneric_error
0.1,0.0588071736410399,observed,0.5,1,68,846,species,0,9,3,rare_weighted_error
0,0,observed,0,1,68,0,mixed_rtu,0.20422633115528988,9,3,mixed_rtu_reporting
0,0,observed,0,1,68,0,drop_unresolved,0.20116780202975115,9,3,drop_unresolved
0,0,observed,0,1,68,0,rare_to_genus,0.007924370916168497,9,3,rare_species_to_genus
0,0,observed,0,1,68,0,difficult_to_genus,0.01591825385791742,9,3,difficult_genera_to_genus
0,0,observed,0,1,68,0,genus,NA,9,3,genus_level
0,0,observed,0,1,68,0,family,NA,9,3,family_level
0.1,0.0677991246940138,observed,0,1,62,914,species,0,9,4,observed_congeneric_error
0.1,0.09635783695571545,regional,0,1,102,1299,species,0,9,4,regional_congeneric_error
0.1,0.06713151843335065,observed,0.5,1,62,905,species,0,9,4,rare_weighted_error
0,0,observed,0,1,62,0,mixed_rtu,0.20057859209257478,9,4,mixed_rtu_reporting
0,0,observed,0,1,62,0,drop_unresolved,0.19686966842222386,9,4,drop_unresolved
0,0,observed,0,1,62,0,rare_to_genus,0.007417847340701728,9,4,rare_species_to_genus
0,0,observed,0,1,62,0,difficult_to_genus,0.05147986054446999,9,4,difficult_genera_to_genus
0,0,observed,0,1,62,0,genus,NA,9,4,genus_level
0,0,observed,0,1,62,0,family,NA,9,4,family_level
0.1,0.0773490532332976,observed,0,1,77,1299,species,0,9,5,observed_congeneric_error
0.1,0.10176253423841848,regional,0,1,103,1709,species,0,9,5,regional_congeneric_error
0.1,0.07609860664523044,observed,0.5,1,77,1278,species,0,9,5,rare_weighted_error
0,0,observed,0,1,77,0,mixed_rtu,0.2019173514350363,9,5,mixed_rtu_reporting
0,0,observed,0,1,77,0,drop_unresolved,0.19733238061212333,9,5,drop_unresolved
0,0,observed,0,1,77,0,rare_to_genus,0.005656782184113374,9,5,rare_species_to_genus
0,0,observed,0,1,77,0,difficult_to_genus,0.06573776348695963,9,5,difficult_genera_to_genus
0,0,observed,0,1,77,0,genus,NA,9,5,genus_level
0,0,observed,0,1,77,0,family,NA,9,5,family_level
0.1,0.06935603868727784,observed,0,1,260,839,species,0,10,1,observed_congeneric_error
0.1,0.0893609985946929,regional,0,1,331,1081,species,0,10,1,regional_congeneric_error
0.1,0.06571877324956601,observed,0.5,1,260,795,species,0,10,1,rare_weighted_error
0,0,observed,0,1,260,0,mixed_rtu,0.19781764073737296,10,1,mixed_rtu_reporting
0,0,observed,0,1,260,0,drop_unresolved,0.19525502190625776,10,1,drop_unresolved
0,0,observed,0,1,260,0,rare_to_genus,0.014218401256509878,10,1,rare_species_to_genus
0,0,observed,0,1,260,0,difficult_to_genus,0.18773249566008102,10,1,difficult_genera_to_genus
