world_id,varied_parameter,factor_label,factor_value,factor_value_label,n_regional_species...6,n_genera...7,n_families...8,difficult_genus_fraction,n_sites,n_observed_species,occupancy_mean,occupancy_precision,mean_abundance,abundance_nb_size,occupancy_abundance_slope,observed_selection_bias,environmental_gradient_strength,regional_observed_ratio_input,mean_species_per_genus_input,mean_genera_per_family_input,occupancy_mean_input,mean_species_per_family_input,replicate_id,n_regional_species...25,n_genera...26,n_families...27,mean_species_per_genus,cv_species_per_genus,prop_monotypic_genera,mean_genera_per_family,cv_genera_per_family,prop_difficult_genera,true_alpha_q0,true_gamma,true_mean_occupancy,true_mean_bray_curtis
4,regional_observed_ratio,Regional / observed species ratio,12,12,960,240,60,0.2,70,80,0.2,6,8,1.5,0.6,0,0,12,4,4,0.2,16,2,960,240,40,4,0.6929109055373225,0.14583333333333334,6,4.624658299535695,0.2,15.842857142857143,78,0.2031135531135531,0.7981516516315427
4,regional_observed_ratio,Regional / observed species ratio,12,12,960,240,60,0.2,70,80,0.2,6,8,1.5,0.6,0,0,12,4,4,0.2,16,3,960,240,37,4,0.6872265526942578,0.15833333333333333,6.486486486486487,4.495517743703234,0.2,14.428571428571429,78,0.184981684981685,0.8130982797465568
4,regional_observed_ratio,Regional / observed species ratio,12,12,960,240,60,0.2,70,80,0.2,6,8,1.5,0.6,0,0,12,4,4,0.2,16,4,960,240,44,4,0.681494788273186,0.12916666666666668,5.454545454545454,4.65742440273414,0.2,15.928571428571429,75,0.21238095238095236,0.8253371512654727
4,regional_observed_ratio,Regional / observed species ratio,12,12,960,240,60,0.2,70,80,0.2,6,8,1.5,0.6,0,0,12,4,4,0.2,16,5,960,240,41,4,0.6940421894016646,0.15833333333333333,5.853658536585366,4.791343739118379,0.2,16.885714285714286,80,0.21107142857142858,0.7800467601483525
5,mean_species_per_genus,Mean species per genus,1.5,1.5,320,213,53,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,1.5,4,0.2,6.037735849056604,1,320,213,50,1.5023474178403755,0.5805103613446858,0.647887323943662,4.26,2.516570099126803,0.20187793427230047,16.814285714285713,77,0.21836734693877552,0.7910802515454548
5,mean_species_per_genus,Mean species per genus,1.5,1.5,320,213,53,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,1.5,4,0.2,6.037735849056604,2,320,213,47,1.5023474178403755,0.5696077077629169,0.6572769953051644,4.531914893617022,2.3933503682658346,0.20187793427230047,15.385714285714286,75,0.20514285714285713,0.7880837781231409
5,mean_species_per_genus,Mean species per genus,1.5,1.5,320,213,53,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,1.5,4,0.2,6.037735849056604,3,320,213,48,1.5023474178403755,0.49077219580185044,0.6244131455399061,4.4375,2.2630455007074266,0.20187793427230047,13.871428571428572,76,0.1825187969924812,0.8203496624486296
5,mean_species_per_genus,Mean species per genus,1.5,1.5,320,213,53,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,1.5,4,0.2,6.037735849056604,4,320,213,50,1.5023474178403755,0.535569719164634,0.6525821596244131,4.26,2.3540244293517105,0.20187793427230047,16.728571428571428,78,0.21446886446886446,0.8130412154525136
5,mean_species_per_genus,Mean species per genus,1.5,1.5,320,213,53,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,1.5,4,0.2,6.037735849056604,5,320,213,51,1.5023474178403755,0.47782633800006946,0.6150234741784038,4.176470588235294,2.357061505495003,0.20187793427230047,15.5,76,0.20394736842105263,0.8275388642449893
6,mean_species_per_genus,Mean species per genus,2,2,320,160,40,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,2,4,0.2,8,1,320,160,39,2,0.5961089765719734,0.425,4.102564102564102,2.776810842305858,0.2,16.057142857142857,75,0.2140952380952381,0.7628028891833077
