delta_alpha_pct,delta_gamma_pct,delta_occupancy_pct,beta_signature,world_id,varied_parameter,factor_label,factor_value,factor_value_label,n_regional_species,n_genera,n_families,difficult_genus_fraction,n_sites,n_observed_species,occupancy_mean,occupancy_precision,mean_abundance,abundance_nb_size,occupancy_abundance_slope,observed_selection_bias,environmental_gradient_strength,regional_observed_ratio_input,mean_species_per_genus_input,mean_genera_per_family_input,occupancy_mean_input,mean_species_per_family_input,replicate_id,scenario,scenario_label,scenario_domain,mechanism,intensity_type,requested_intensity,intensity_label,metric,baseline,target,delta,relative_delta_pct,alpha_q0_spearman,bray_spearman,jaccard_spearman,sorensen_spearman,requested_mean_error,realised_mean_error,candidate_pool,rarity_exponent,difficulty_multiplier,n_eligible_source_species,n_moved_individuals,workflow,realised_unresolved_rate
NA,NA,NA,NA,1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,id_observed_uniform_10pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.1,   10%,NA,NA,NA,NA,NA,0.8160565358083681,0.9798018487396557,0.6267886099616949,0.6267886099616949,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,id_regional_uniform_10pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.1,   10%,NA,NA,NA,NA,NA,0.8299313226928727,0.9809552990615301,0.6891619880500393,0.6891619880500393,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,NA,NA,NA,NA,NA,0.7978623948760495,0.9793042089567586,0.642492959747413,0.642492959747413,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,id_regional_difficult_bias_10pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.1,   10%,NA,NA,NA,NA,NA,0.774570262444544,0.9829008999580333,0.7134582845875002,0.7134582845875002,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,id_observed_uniform_20pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.2,   20%,NA,NA,NA,NA,NA,0.744575381840714,0.9450029668680074,0.5671466593963457,0.5671466593963457,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,id_regional_uniform_20pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.2,   20%,NA,NA,NA,NA,NA,0.7667712425654049,0.9540434908542915,0.5855666064342775,0.5855666064342775,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,id_observed_rare_weighted_20pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.2,   20%,NA,NA,NA,NA,NA,0.7860363618343107,0.9458003357445496,0.5424798161779485,0.5424798161779485,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,id_regional_difficult_bias_20pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.2,   20%,NA,NA,NA,NA,NA,0.8215494638624213,0.9501447781597264,0.6123695789267187,0.6123695789267187,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,workflow_mixed_rtu_1pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.01,    1%,NA,NA,NA,NA,NA,0.9601193680847392,0.9991703987644778,0.9757187670154918,0.9757187670154918,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,workflow_drop_unresolved_1pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.01,    1%,NA,NA,NA,NA,NA,0.953239240071337,0.9986237933179019,0.9821376650726955,0.9821376650726955,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,regional_observed_ratio,Regional / observed species ratio,1.5,1.5,120,30,8,0.2,70,80,0.2,6,8,1.5,0.6,0,0,1.5,4,4,0.2,15,1,workflow_mixed_rtu_3pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.03,    3%,NA,NA,NA,NA,NA,0.9132798249577717,0.9978869070299252,0.9274730971310775,0.9274730971310775,NA,NA,NA,NA,NA,NA,NA,NA,NA
