varied_parameter,factor_label,factor_value,factor_value_label,scenario,scenario_label,scenario_domain,mechanism,intensity_type,requested_intensity,intensity_label,realised_mean_error_med,realised_unresolved_rate_med,eligible_source_species_med
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_mixed_rtu_5pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.05,    5%,0,0.04968305636457082,52
mean_genera_per_family,Mean genera per family,1.5,1.5,workflow_rare_species_to_genus,Rare taxa reported at genus,fixed_workflow,rare_to_genus,fixed_workflow,NA,fixed,0,0.0031847133757961785,52
mean_genera_per_family,Mean genera per family,2,2,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,0.059974220941693836,0,50
mean_genera_per_family,Mean genera per family,2,2,id_observed_rare_weighted_1pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.01,    1%,0.006216696269982238,0,50
mean_genera_per_family,Mean genera per family,2,2,id_observed_rare_weighted_20pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.2,   20%,0.11911441352642353,0,50
mean_genera_per_family,Mean genera per family,2,2,id_observed_rare_weighted_3pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.03,    3%,0.017590416255970884,0,50
mean_genera_per_family,Mean genera per family,2,2,id_observed_rare_weighted_5pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.05,    5%,0.030878421974375517,0,50
mean_genera_per_family,Mean genera per family,2,2,id_observed_uniform_10pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.1,   10%,0.061869739934794145,0,50
mean_genera_per_family,Mean genera per family,2,2,id_observed_uniform_1pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.01,    1%,0.006444764576541057,0,50
mean_genera_per_family,Mean genera per family,2,2,id_observed_uniform_20pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.2,   20%,0.12373947986958829,0,50
mean_genera_per_family,Mean genera per family,2,2,id_observed_uniform_3pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.03,    3%,0.017236611669278274,0,50
mean_genera_per_family,Mean genera per family,2,2,id_observed_uniform_5pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.05,    5%,0.03004885242879528,0,50
mean_genera_per_family,Mean genera per family,2,2,id_regional_difficult_bias_10pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.1,   10%,0.09477594965501554,0,74
mean_genera_per_family,Mean genera per family,2,2,id_regional_difficult_bias_1pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.01,    1%,0.009309613789289335,0,74
mean_genera_per_family,Mean genera per family,2,2,id_regional_difficult_bias_20pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.2,   20%,0.19006360033182781,0,74
mean_genera_per_family,Mean genera per family,2,2,id_regional_difficult_bias_3pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.03,    3%,0.028024472074205643,0,74
mean_genera_per_family,Mean genera per family,2,2,id_regional_difficult_bias_5pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.05,    5%,0.046450060168471724,0,74
mean_genera_per_family,Mean genera per family,2,2,id_regional_uniform_10pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.1,   10%,0.09621077560686797,0,74
mean_genera_per_family,Mean genera per family,2,2,id_regional_uniform_1pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.01,    1%,0.00962923648494958,0,74
mean_genera_per_family,Mean genera per family,2,2,id_regional_uniform_20pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.2,   20%,0.19486562374649016,0,74
mean_genera_per_family,Mean genera per family,2,2,id_regional_uniform_3pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.03,    3%,0.026916369702024413,0,74
mean_genera_per_family,Mean genera per family,2,2,id_regional_uniform_5pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.05,    5%,0.04914150384843102,0,74
mean_genera_per_family,Mean genera per family,2,2,workflow_difficult_genera_to_genus,Difficult genera reported at genus,fixed_workflow,difficult_to_genus,fixed_workflow,NA,fixed,0,0.17485482532952346,50
mean_genera_per_family,Mean genera per family,2,2,workflow_drop_unresolved_10pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.1,   10%,0,0.101146449704142,50
mean_genera_per_family,Mean genera per family,2,2,workflow_drop_unresolved_1pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.01,    1%,0,0.010415706516729628,50
mean_genera_per_family,Mean genera per family,2,2,workflow_drop_unresolved_20pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.2,   20%,0,0.20047930684855753,50
mean_genera_per_family,Mean genera per family,2,2,workflow_drop_unresolved_3pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.03,    3%,0,0.029039350974296774,50
mean_genera_per_family,Mean genera per family,2,2,workflow_drop_unresolved_5pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.05,    5%,0,0.04914150384843108,50
mean_genera_per_family,Mean genera per family,2,2,workflow_family_level,Family-level aggregation,fixed_workflow,family_level,fixed_workflow,NA,fixed,0,NA,50
mean_genera_per_family,Mean genera per family,2,2,workflow_genus_level,Genus-level aggregation,fixed_workflow,genus_level,fixed_workflow,NA,fixed,0,NA,50
mean_genera_per_family,Mean genera per family,2,2,workflow_mixed_rtu_10pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.1,   10%,0,0.09927182228776843,50
mean_genera_per_family,Mean genera per family,2,2,workflow_mixed_rtu_1pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.01,    1%,0,0.01087657848649648,50
mean_genera_per_family,Mean genera per family,2,2,workflow_mixed_rtu_20pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.2,   20%,0,0.20020278366669741,50
mean_genera_per_family,Mean genera per family,2,2,workflow_mixed_rtu_3pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.03,    3%,0,0.030491415038484293,50
mean_genera_per_family,Mean genera per family,2,2,workflow_mixed_rtu_5pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.05,    5%,0,0.050942639390292865,50
mean_genera_per_family,Mean genera per family,2,2,workflow_rare_species_to_genus,Rare taxa reported at genus,fixed_workflow,rare_to_genus,fixed_workflow,NA,fixed,0,0.004653028479743282,50
mean_genera_per_family,Mean genera per family,4,4,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,0.06635297870643592,0,50
mean_genera_per_family,Mean genera per family,4,4,id_observed_rare_weighted_1pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.01,    1%,0.006619347635377621,0,50
mean_genera_per_family,Mean genera per family,4,4,id_observed_rare_weighted_20pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.2,   20%,0.13703017023428282,0,50
mean_genera_per_family,Mean genera per family,4,4,id_observed_rare_weighted_3pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.03,    3%,0.020580062521708926,0,50
mean_genera_per_family,Mean genera per family,4,4,id_observed_rare_weighted_5pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.05,    5%,0.03362548457778527,0,50
mean_genera_per_family,Mean genera per family,4,4,id_observed_uniform_10pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.1,   10%,0.06754924635138368,0,50
mean_genera_per_family,Mean genera per family,4,4,id_observed_uniform_1pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.01,    1%,0.006061089401068666,0,50
mean_genera_per_family,Mean genera per family,4,4,id_observed_uniform_20pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.2,   20%,0.13475476150345525,0,50
mean_genera_per_family,Mean genera per family,4,4,id_observed_uniform_3pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.03,    3%,0.019130288218439238,0,50
mean_genera_per_family,Mean genera per family,4,4,id_observed_uniform_5pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.05,    5%,0.032857484647898554,0,50
mean_genera_per_family,Mean genera per family,4,4,id_regional_difficult_bias_10pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.1,   10%,0.09620843471208435,0,73
mean_genera_per_family,Mean genera per family,4,4,id_regional_difficult_bias_1pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.01,    1%,0.01076762764848906,0,73
mean_genera_per_family,Mean genera per family,4,4,id_regional_difficult_bias_20pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.2,   20%,0.19197707736389685,0,73
mean_genera_per_family,Mean genera per family,4,4,id_regional_difficult_bias_3pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.03,    3%,0.030066193476353777,0,73
mean_genera_per_family,Mean genera per family,4,4,id_regional_difficult_bias_5pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.05,    5%,0.046435192988370136,0,73
mean_genera_per_family,Mean genera per family,4,4,id_regional_uniform_10pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.1,   10%,0.09681792806443895,0,73
mean_genera_per_family,Mean genera per family,4,4,id_regional_uniform_1pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.01,    1%,0.009030913511635985,0,73
mean_genera_per_family,Mean genera per family,4,4,id_regional_uniform_20pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.2,   20%,0.18978594303050733,0,73
mean_genera_per_family,Mean genera per family,4,4,id_regional_uniform_3pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.03,    3%,0.028742618964918375,0,73
mean_genera_per_family,Mean genera per family,4,4,id_regional_uniform_5pct,Regional-pool congeneric error,identification_error,regional_uniform,identification_error_rate,0.05,    5%,0.04845904298459043,0,73
mean_genera_per_family,Mean genera per family,4,4,workflow_difficult_genera_to_genus,Difficult genera reported at genus,fixed_workflow,difficult_to_genus,fixed_workflow,NA,fixed,0,0.2191808596918086,50
