method,p_med,n_sp
GPD,0.7102875105857889,42
Pitfall10,0.8738157714847461,42
Pitfall2,0.36822969207278344,42
Pitfall4,0.6026313126226206,42
Pitfall6,0.691296310605004,42
Pitfall8,0.7893957538652892,42
