method,p_med,n_sp
GPD,0.6860267097424763,48
Pitfall10,0.8738157714847461,48
Pitfall2,0.36822969207278344,48
Pitfall4,0.574787359323166,48
Pitfall6,0.709564428329585,48
Pitfall8,0.8061786474400507,48
