method,p_med,n_sp
GPD,0.7285694117074047,33
Pitfall10,0.9999975717330712,33
Pitfall2,0.5203565328811182,33
Pitfall4,0.7496111943178032,33
Pitfall6,0.8834470449739723,33
Pitfall8,0.95719139868777,33
