species,n_sites,total_abundance,mean_BL,pct_winged,modeled,log_total_abundance,log_n_sites,log_BL,full_wing
Bembidion callosum subconnexum,1,1,NA,NA,Non-modelled species,0.3010299956639812,0.3010299956639812,NA,NA
Bembidion deletum,1,3,NA,NA,Non-modelled species,0.6020599913279624,0.3010299956639812,NA,NA
Bembidion guttula,2,2,NA,NA,Non-modelled species,0.47712125471966244,0.47712125471966244,NA,NA
Bembidion humerale,1,8,NA,NA,Non-modelled species,0.9542425094393249,0.3010299956639812,NA,NA
Bembidion iricolor,1,1,NA,NA,Non-modelled species,0.3010299956639812,0.3010299956639812,NA,NA
Bembidion jacqueti,1,1,NA,NA,Non-modelled species,0.3010299956639812,0.3010299956639812,NA,NA
Bembidion lampros,36,629,NA,NA,Modelled species,2.7993405494535817,1.568201724066995,NA,NA
Bembidion latinum,2,2,NA,NA,Non-modelled species,0.47712125471966244,0.47712125471966244,NA,NA
Bembidion lunulatum,24,86,NA,NA,Modelled species,1.9395192526186185,1.3979400086720377,NA,NA
Bembidion obtusum,29,101,NA,NA,Modelled species,2.0086001717619175,1.4771212547196624,NA,NA
Bembidion properans,44,656,NA,NA,Modelled species,2.8175653695597807,1.6532125137753437,NA,NA
Bembidion pyrenaeum,1,17,NA,NA,Non-modelled species,1.255272505103306,0.3010299956639812,NA,NA
Bembidion pyrenaeum poenini,1,4,NA,NA,Non-modelled species,0.6989700043360189,0.3010299956639812,NA,NA
Bembidion quadrimaculatum,16,183,3.0375,1,Modelled species,2.2648178230095364,1.2304489213782739,0.48251628660636864,fully winged
Bembidion tethys,1,2,NA,NA,Non-modelled species,0.47712125471966244,0.3010299956639812,NA,NA
Bembidion tetracolum,5,11,NA,NA,Non-modelled species,1.0791812460476249,0.7781512503836436,NA,NA
Brachinus crepitans,14,393,8.466666666666667,1,Modelled species,2.595496221825574,1.1760912590556813,0.9277124619002757,fully winged
Brachinus elegans,5,7,NA,1,Non-modelled species,0.9030899869919435,0.7781512503836436,NA,fully winged
Brachinus explodens,12,28,6.116666666666667,1,Non-modelled species,1.462397997898956,1.1139433523068367,0.7865148138684458,fully winged
Brachinus psophia,2,23,7.75,NA,Non-modelled species,1.380211241711606,0.47712125471966244,0.8893017025063102,NA
Brachinus sclopeta,17,669,5.75,1,Modelled species,2.8260748027008264,1.255272505103306,0.7596678446896304,fully winged
Bradycellus harpalinus,1,1,3.89,1,Non-modelled species,0.3010299956639812,0.3010299956639812,0.5899496013257077,fully winged
Calathus,7,11,NA,NA,Non-modelled species,1.0791812460476249,0.9030899869919435,NA,NA
Calathus ambiguus,1,3,10,NA,Non-modelled species,0.6020599913279624,0.3010299956639812,1,NA
Calathus cinctus,1,1,7.75,0.75,Non-modelled species,0.3010299956639812,0.3010299956639812,0.8893017025063102,not fully winged
Calathus circumseptus,1,1,12,1,Non-modelled species,0.3010299956639812,0.3010299956639812,1.0791812460476249,fully winged
Calathus fuscipes,25,309,11.9375,0.16666666666666666,Modelled species,2.4913616938342726,1.414973347970818,1.0769133845918029,not fully winged
Calathus luctuosus,1,4,12,0,Non-modelled species,0.6989700043360189,0.3010299956639812,1.0791812460476249,not fully winged
Calathus melanocephalus,13,26,7.166666666666667,0.5714285714285714,Non-modelled species,1.4313637641589874,1.146128035678238,0.8553172051959429,not fully winged
Calathus micropterus,4,28,7.583333333333333,0,Non-modelled species,1.462397997898956,0.6989700043360189,0.8798601462734688,not fully winged
Calathus rotundicollis,1,8,10.5,0.8,Non-modelled species,0.9542425094393249,0.3010299956639812,1.021189299069938,not fully winged
Callistus lunatus,1,1,6.525,1,Non-modelled species,0.3010299956639812,0.3010299956639812,0.8145805160103186,fully winged
Calosoma inquisitor,2,4,20.421666666666667,1,Non-modelled species,0.6989700043360189,0.47712125471966244,1.3100911831279283,fully winged
Carabus auratus,27,733,23.5,0,Non-modelled species,2.8656960599160706,1.4471580313422192,1.3710678622717363,not fully winged
Carabus auronitens,6,42,24.193,0,Non-modelled species,1.6334684555795864,0.8450980400142568,1.3836897254376037,not fully winged
Carabus cancellatus,4,20,24.364,0,Non-modelled species,1.3222192947339193,0.6989700043360189,1.3867485908293837,not fully winged
Carabus convexus,8,13,17.33111111111111,0,Non-modelled species,1.146128035678238,0.9542425094393249,1.2388264065659478,not fully winged
Carabus coriaceus,1,1,38.15,0,Non-modelled species,0.3010299956639812,0.3010299956639812,1.5814945422908993,not fully winged
Carabus coriaceus coriaceus,1,1,NA,NA,Non-modelled species,0.3010299956639812,0.3010299956639812,NA,NA
Carabus depressus,2,3,NA,NA,Non-modelled species,0.6020599913279624,0.47712125471966244,NA,NA
Carabus granulatus,4,9,18.845,0.4444444444444444,Non-modelled species,1,0.6989700043360189,1.2751961417856237,not fully winged
Carabus hispanus,1,1,NA,NA,Non-modelled species,0.3010299956639812,0.3010299956639812,NA,NA
Carabus monilis,7,43,25,0,Non-modelled species,1.6434526764861874,0.9030899869919435,1.3979400086720377,not fully winged
Carabus nemoralis,28,209,23.527142857142856,0,Modelled species,2.322219294733919,1.462397997898956,1.3715691895339523,not fully winged
Carabus problematicus,19,93,23.75,0,Non-modelled species,1.9731278535996986,1.3010299956639813,1.3756636139608853,not fully winged
Carabus splendens,2,3,NA,NA,Non-modelled species,0.6020599913279624,0.47712125471966244,NA,NA
Carabus violaceus,1,1,27.533,0,Non-modelled species,0.3010299956639812,0.3010299956639812,1.4398535347664483,not fully winged
Carabus violaceus purpurascens,8,23,NA,NA,Non-modelled species,1.380211241711606,0.9542425094393249,NA,NA
Chlaenius chrysocephalus,2,3,8.5,NA,Non-modelled species,0.6020599913279624,0.47712125471966244,0.9294189257142927,NA
Chlaenius nigricornis,1,1,NA,NA,Non-modelled species,0.3010299956639812,0.3010299956639812,NA,NA
Chlaenius olivieri,1,2,NA,NA,Non-modelled species,0.47712125471966244,0.3010299956639812,NA,NA
Chlaenius tibialis,2,2,NA,NA,Non-modelled species,0.47712125471966244,0.47712125471966244,NA,NA
Chlaenius vestitus,1,1,NA,NA,Non-modelled species,0.3010299956639812,0.3010299956639812,NA,NA
Cicindela campestris,6,39,13.5,1,Non-modelled species,1.6020599913279623,0.8450980400142568,1.130333768495006,fully winged
Cicindela gallica,1,4,15,NA,Non-modelled species,0.6989700043360189,0.3010299956639812,1.1760912590556813,NA
Clivina collaris,1,2,5.25,1,Non-modelled species,0.47712125471966244,0.3010299956639812,0.7201593034059569,fully winged
Clivina fossor,18,63,6,0.6666666666666666,Non-modelled species,1.806179973983887,1.2787536009528289,0.7781512503836436,not fully winged
Cychrus attenuatus,7,16,15.666666666666666,NA,Non-modelled species,1.2304489213782739,0.9030899869919435,1.194976603216055,NA
Cylindera germanica,1,9,9.625,0.25,Non-modelled species,1,0.3010299956639812,0.9834007381805383,not fully winged
Cymindis axillaris,1,4,NA,NA,Non-modelled species,0.6989700043360189,0.3010299956639812,NA,NA
Cymindis coadunata,5,5,NA,NA,Non-modelled species,0.7781512503836436,0.7781512503836436,NA,NA
