modeled,n_species,total_abundance,median_n_sites,median_body_length,min_body_length,max_body_length,prop_fully_winged,prop_total_abundance
Modelled species,49,32985,22,7.287,2.8,23.527142857142856,0.6190476190476191,0.9142437428975304
Non-modelled species,198,3094,2,8.896666666666668,2.4,38.15,0.5754716981132075,0.08575625710246958
