m1,m2,component,median,q25,q75,n_site
1,2,nestedness,0.12121212121212122,0.05454545454545454,0.26666666666666666,65
1,2,total,0.5384615384615384,0.45454545454545453,0.7209302325581395,65
1,2,turnover,0.4,0.25,0.5454545454545454,65
1,3,nestedness,0.1462640977443609,0.07359143049932523,0.26664098097024924,36
1,3,total,0.8047619047619048,0.75,0.8757621951219512,36
1,3,turnover,0.6234817813765182,0.5,0.75,36
2,3,nestedness,0.10638139034878166,0.042557932263814616,0.22916666666666666,36
2,3,total,0.8148148148148148,0.75,0.8829185520361991,36
2,3,turnover,0.6666666666666666,0.5,0.7833333333333334,36
