species,out,result,error,status,reason
Inermocoelotes inermis,,,,skip,n_sites<7
Jacksonella falconeri,,,,skip,n_sites<7
Lathys humilis,,,,skip,n_sites<7
Lathys narbonensis,,,,skip,n_sites<7
Leptoneta crypticola,,,,skip,n_sites<7
Liophrurillus flavitarsis,,,,skip,n_sites<7
Macrargus rufus,,,,skip,n_sites<7
Mangora acalypha,,,,fail,safely_otherwise
Marinarozelotes fuscipes,,,,skip,n_sites<7
Marpissa nivoyi,,,,skip,n_sites<7
Maso sundevalli,,,,skip,n_sites<7
Mecopisthes peusi,,,,skip,n_sites<7
Mermessus trilobatus,,,,fail,safely_otherwise
Metopobactrus prominulus,,,,skip,n_sites<7
Metopobactrus verticalis,,,,skip,n_sites<7
Micaria alpina,,,,skip,n_sites<7
Micaria formicaria,,,,skip,n_sites<7
Micaria fulgens,,,,skip,n_sites<7
Micaria micans,,,,fail,safely_otherwise
Micrargus herbigradus,,,,skip,n_sites<7
Micrargus subaequalis,,,,skip,n_sites<7
Microlinyphia pusilla,,,,fail,safely_otherwise
Microneta viaria,,,,fail,safely_otherwise
Minicia marginella,,,,skip,n_sites<7
Minyriolus pusillus,,,,skip,n_sites<7
Mioxena blanda,,,,skip,n_sites<7
Monocephalus fuscipes,,,,skip,n_sites<7
Myrmarachne formicaria,,,,skip,n_sites<7
Neon reticulatus,,,,skip,n_sites<7
Neottiura bimaculata,,,,skip,n_sites<7
Neottiura suaveolens,,,,skip,n_sites<7
Neriene clathrata,,,,skip,n_sites<7
Neriene furtiva,,,,skip,n_sites<7
Neriene montana,,,,skip,n_sites<7
Neriene radiata,,,,skip,n_sites<7
Nigma puella,,,,skip,n_sites<7
Nurscia albomaculata,,,,skip,n_sites<7
Nusoncus nasutus,,,,skip,n_sites<7
Oedothorax apicatus,,,,fail,safely_otherwise
Oedothorax fuscus,,,,fail,safely_otherwise
Oedothorax gibbosus,,,,skip,n_sites<7
Oedothorax retusus,,,,skip,n_sites<7
Ostearius melanopygius,,,,skip,n_sites<7
Ozyptila atomaria,,,,skip,n_sites<7
Ozyptila claveata,,,,skip,n_sites<7
Ozyptila praticola,,,,skip,n_sites<7
Ozyptila sanctuaria,,,,skip,n_sites<7
Ozyptila simplex,,,,skip,n_sites<7
Ozyptila trux,,,,skip,n_sites<7
Pachygnatha clercki,,,,fail,safely_otherwise
Pachygnatha degeeri,,,,fail,safely_otherwise
Palliduphantes alutacius,,,,skip,n_sites<7
Palliduphantes angustiformis,,,,skip,n_sites<7
Palliduphantes cernuus,,,,skip,n_sites<7
Palliduphantes culicinus,,,,skip,n_sites<7
Palliduphantes ericaeus,,,,skip,n_sites<7
Palliduphantes insignis,,,,skip,n_sites<7
Palliduphantes pallidus,,,,skip,n_sites<7
Palliduphantes sanctivincenti,,,,skip,n_sites<7
Panamomops sulcifrons,,,,fail,safely_otherwise
Pardosa agrestis,,,,fail,safely_otherwise
Pardosa agricola,,,,skip,n_sites<7
Pardosa amentata,,,,fail,safely_otherwise
Pardosa femoralis,,,,skip,n_sites<7
Pardosa hortensis,,,,fail,safely_otherwise
Pardosa lugubris,,,,skip,n_sites<7
Pardosa monticola,,,,skip,n_sites<7
Pardosa nigriceps,,,,fail,safely_otherwise
Pardosa paludicola,,,,fail,safely_otherwise
Pardosa palustris,,,,fail,safely_otherwise
Pardosa prativaga,,,,fail,safely_otherwise
Pardosa proxima,,,,fail,safely_otherwise
Pardosa pullata,,,,fail,safely_otherwise
Pardosa saltans,,,,fail,safely_otherwise
Pardosa tenuipes,,,,fail,safely_otherwise
Pelecopsis bucephala,,,,skip,n_sites<7
Pelecopsis inedita,,,,skip,n_sites<7
Pelecopsis parallela,,,,fail,safely_otherwise
Pelecopsis radicicola,,,,skip,n_sites<7
Philodromus rufus,,,,skip,n_sites<7
Phlegra bresnieri,,,,skip,n_sites<7
Phlegra fasciata,,,,skip,n_sites<7
Phrurolithus festivus,,,,fail,safely_otherwise
Phrurolithus minimus,,,,skip,n_sites<7
Phrurolithus nigrinus,,,,skip,n_sites<7
Phylloneta impressa,,,,skip,n_sites<7
Pirata piraticus,,,,skip,n_sites<7
Piratula hygrophila,,,,skip,n_sites<7
Piratula latitans,,,,skip,n_sites<7
Pisaura mirabilis,,,,fail,safely_otherwise
Pocadicnemis jacksoni,,,,skip,n_sites<7
Pocadicnemis juncea,,,,fail,safely_otherwise
Pocadicnemis pumila,,,,skip,n_sites<7
Porrhoclubiona decora,,,,skip,n_sites<7
Porrhomma egeria,,,,skip,n_sites<7
Porrhomma microphthalmum,,,,fail,safely_otherwise
Porrhomma pygmaeum,,,,skip,n_sites<7
Prinerigone vagans,,,,fail,safely_otherwise
Psammitis ninnii,,,,skip,n_sites<7
Pseudeuophrys erratica,,,,skip,n_sites<7
Robertus arundineti,,,,fail,safely_otherwise
Robertus kuehnae,,,,skip,n_sites<7
Robertus lividus,,,,skip,n_sites<7
Robertus mediterraneus,,,,skip,n_sites<7
Robertus neglectus,,,,skip,n_sites<7
Runcinia grammica,,,,skip,n_sites<7
Saaristoa abnormis,,,,skip,n_sites<7
Saitis barbipes,,,,skip,n_sites<7
Savignia frontata,,,,skip,n_sites<7
Scotina celans,,,,skip,n_sites<7
Scotina gracilipes,,,,skip,n_sites<7
Scotina palliardii,,,,skip,n_sites<7
