method,p_med,n_sp
GPD,0.6831398629374541,52
Pitfall10,0.9999985317075586,52
Pitfall2,0.43947708075215686,52
Pitfall4,0.7079930262588059,52
Pitfall6,0.8418143723389108,52
Pitfall8,0.952144033779676,52
