method,p_med,n_sp
GPD,0.7179890978800233,42
Pitfall10,0.9999982878651942,42
Pitfall2,0.47939488015992504,42
Pitfall4,0.7334588168697389,42
Pitfall6,0.8490171589351541,42
Pitfall8,0.953672813105618,42
