site_id,species,psi_hat
RMQS_25_ANTHENY_112,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_ARFEUILLES_1345,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_AVESSAC_831,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_AZAY-LE-FERRON_1126,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_BAZORDAN_2186,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_BEAUCHENE_438,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_BESSE_1747,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_BETTEVILLE_153,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_BEZIERS_2161,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_BIOL_1517,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_CANET-DE-SALARS_1882,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_CARSAC-DE-GURSON_1657,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_CASTANET_1878,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_CASTELLET-LES-SAUSSES_1948,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_CHAMBLAC_325,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_CHAMONIX-MONT-BLANC_1402,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_CHATEAU-L'EVEQUE_1578,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_CHATRES-SUR-CHER_997,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_CHAUSSEE-SUR-MARNE_401,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_CLEMONT_903,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_CUGNEY_970,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_DAMBACH-LA-VILLE_10594,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_DINGY-SAINT-CLAIR_1399,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_DOMPAIRE_647,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_EBERSHEIM_594,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_EPANNES_1283,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_ESPAGNAC_1584,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_FONDETTES_946,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_FRETOY_456,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_GAREIN_1911,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_GAS_509,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_GEDRE_2269,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_HORPS_557,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_HOUTAUD_1107,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_JOUILLAT_1295,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_LAGUIOLE_1756,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_LESCOUT_2110,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_LITZ_199,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_LIVRE-SUR-CHANGEON_612,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_LONDE-LES-MAURES_2207,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_LUGNY-LES-CHAROLLES_1264,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_MALREVERS_1635,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_MELLERAY_680,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_MONPEZAT_2099,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_MONT-PRES-CHAMBORD_899,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_MONTPEZAT_2099,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_NAIZIN_663,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_OUESSANT_418,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_PAUILLAC_1571,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_PERREUX_803,Alopecosa pulverulenta,0.2922481416480746
RMQS_25_POMMERAYE_939,Alopecosa pulverulenta,0.2922481416480746
