npar,AIC,BIC,logLik,-2*log(L),Chisq,Df,Pr(>Chisq)
9,562.6478161872197,592.771783963677,-272.3239080936099,544.6478161872197,NA,NA,NA
14,572.1031377496538,618.9626431796984,-272.0515688748269,544.1031377496538,0.544678437565949,5,0.9903958816434044
