modeled,n_species,total_abundance,median_n_sites,median_body_length,min_body_length,max_body_length,prop_fully_winged,prop_total_abundance
Modelled species,42,14446,23.5,7.5,3.0375,23.527142857142856,0.6764705882352942,0.400399124144239
Non-modelled species,205,21633,2,8.6875,2.4,38.15,0.5614035087719298,0.5996008758557609
