occupancy_modelled,n_species,median_sites_detected,q1_sites_detected,q3_sites_detected,median_total_abundance,q1_total_abundance,q3_total_abundance
FALSE,128,2,1,3,3,1,10
TRUE,43,14,10,20.5,176,52,408
