"k","mean_coverage","sd_coverage","mean_richness","sd_richness","mean_max_dist","sd_max_dist","mean_pairwise_dist","mean_hull_area"
2,0.603709174304407,0.408214733249431,5.18643578643579,4.56520511195197,18.6684755748481,7.05156666743352,18.6684755748481,0
4,0.698020920278273,0.375085199694738,7.34025974025974,5.84707232220666,27.5295709311949,4.02254494984849,18.6684755748481,212
6,0.739060450033739,0.358548106762829,8.79622758194187,6.68292497114741,30.523382308083,2.94389632641848,18.6684755748481,378.47619047619
8,0.764443810568725,0.346149511693664,9.92582972582973,7.3151969817691,32.3990187482895,2.58090334727585,18.6684755748481,497.244444444444
10,0.782154009754458,0.337042478847991,10.8701298701299,7.88294402884222,34.4093010681705,0,18.6684755748481,592
