method,n_cases,n_reached_095,pct_reached_095,coverage_median,coverage_q1,coverage_q3
GPD,62,29,46.774193548387096,0.944444444444444,0.8805882352941178,0.9765340431493418
Pitfall10,67,36,53.73134328358209,0.952830188679245,0.8915584415584414,0.981481481481482
Pitfall2,64,19,29.6875,0.845,0.6980769230769229,0.963287628218547
Pitfall4,66,29,43.93939393939394,0.936491935483871,0.8083333333333333,0.9765672550213027
Pitfall6,66,33,50,0.948028673835125,0.875548245614035,0.9822950282371925
Pitfall8,66,34,51.515151515151516,0.955500821018062,0.8850524475524477,0.9802740373257735
NA,37,2,5.405405405405405,0,0,0.625
