TTT;Site;Projet;Annee;Nom_site;Usage;Traitement;X_WGS84;Y_WGS84;X_L93;Y_L93;CLC_niveau1;CLC_niveau2;CLC_niveau3;Contamination;RSr;densi;Shannon;Pielou;score_RSr_gamme_RMQS;score_RSr_gamme_RMQS_Bretagne;score_RSr_gamme_ANDRA;score_RSr_gamme_TIGA_rural;score_Pielou_gamme_RMQS;score_Pielou_gamme_RMQS_Bretagne;score_Pielou_gamme_ANDRA;score_Pielou_gamme_TIGA_rural;score_Shannon_gamme_RMQS;score_Shannon_gamme_RMQS_Bretagne;score_Shannon_gamme_ANDRA;score_Shannon_gamme_TIGA_rural;score_densi_gamme_RMQS;score_densi_gamme_RMQS_Bretagne;score_densi_gamme_ANDRA;score_densi_gamme_TIGA_rural
ttt;B10THLA;Bioindicateur2;2010;Thil;Cultures;Tillage 15 cm;5.021414;45.81449;856953.423576604;6525881.98968;2;24;NA;non;7.99825550719281;6543;1.55691914300621;0.748798373877876;4;3;3;4;2;3;2;2;4;4;2;3;5;3;4;4
ref;B10THLT;Bioindicateur2;2010;Thil;Cultures;Tillage 30 cm;5.021414;45.81449;856953.423576604;6525881.98968;2;24;NA;non;11.9475396142766;10434;1.71265244856057;0.690439400956835;5;5;5;5;1;2;1;1;5;4;3;4;5;4;5;5
ttt;B10THTR;Bioindicateur2;2010;Thil;Cultures;Reduced tillage 15 cm;5.021414;45.81449;856953.423576604;6525881.98968;2;24;NA;non;10.9996252849028;4772;1.42372998407328;0.593749955081954;5;5;4;5;1;2;1;1;3;3;2;3;4;3;3;4
ttt;B10THTS;Bioindicateur2;2010;Thil;Cultures;Reduced tillage 7 cm;5.021414;45.81449;856953.423576604;6525881.98968;2;24;NA;non;7.99864051683932;6366;1.57706983497808;0.758472265558819;4;3;3;4;2;3;2;2;4;4;2;4;5;3;4;4
ref;B10YVGC;Bioindicateur2;2010;Yvetot;Cultures;wheat;0.7582528;49.61934;537945.131594712;6948985.45880428;2;24;241;non;3.99999999999984;1767;1.01177531243927;0.729841612875027;1;1;1;1;2;3;1;2;1;1;1;1;2;1;2;2
ttt;B10YVPP;Bioindicateur2;2010;Yvetot;prairie;Permanent pasture;0.7582528;49.61934;537945.131594712;6948985.45880428;2;23;231;non;3;353;1.03873496340998;0.945497309764553;1;1;1;1;5;5;5;5;2;1;1;1;1;1;1;1
ttt;B10YVSI;Bioindicateur2;2010;Yvetot;prairie;Restoration pasture (young);0.7582528;49.61934;537945.131594712;6948985.45880428;2;23;231;non;2;2387;0.348638462462238;0.502978980857424;1;1;1;1;1;1;1;1;1;1;1;1;3;1;2;2
ttt;B10YVSII;Bioindicateur2;2010;Yvetot;prairie;Restoration pasture (old);0.7582528;49.61934;537945.131594712;6948985.45880428;2;23;231;non;4.99999999976824;4333;1.30137920986448;0.808592366221673;3;2;1;2;3;4;2;3;3;2;1;2;4;2;3;3
ttt;B10YVSIII;Bioindicateur2;2010;Yvetot;Cultures;Annual crop;0.7582528;49.61934;537945.131594712;6948985.45880428;2;24;241;non;0;88;0;NA;0;0;1;1;NA;NA;NA;NA;1;1;1;1;0;0;1;1
ttt;B10YVSIV;Bioindicateur2;2010;Yvetot;prairie;Temporary pasture;0.7582528;49.61934;537945.131594712;6948985.45880428;2;23;231;non;6.98153376698694;11318;1.27332901561282;0.655251155675595;4;2;2;3;1;2;1;1;3;2;1;2;5;4;5;5
