method,p_med,n_sp
GPD,0.7385297026722292,49
Pitfall10,0.8203813523295546,49
Pitfall2,0.35557881290173277,49
Pitfall4,0.5938333223941394,49
Pitfall6,0.6763099938384624,49
Pitfall8,0.7600968938076457,49
